bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals"))) length 1.8e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals"))) length 2.25e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals"))) length 2.7e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals"))) length 3.15e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals"))) length 3.6e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals"))) length 4.05e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals"))) length 4.5e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals"))) length 4.95e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals"))) length 5.4e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals"))) length 5.85e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals"))) length 6.3e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals"))) length 6.75e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "ids") / pv("top-level" "width" ?resultsDir "/home/vasanti/simulation/nmos_tech/spectre/schematic" ?result "designParamVals"))) length 7.2e-07 
29.27,32.49E-6,29.26,34.85E-6,29.25,36.95E-6,29.24,38.72E-6,29.23,40.16E-6,29.22,41.33E-6,29.21,42.25E-6,29.20,42.97E-6,29.19,43.53E-6,29.19,43.95E-6,29.18,44.25E-6,29.17,44.46E-6,29.17,44.58E-6
29.18,140.1E-6,29.16,150.2E-6,29.13,159.1E-6,29.11,166.6E-6,29.09,172.7E-6,29.07,177.5E-6,29.05,181.4E-6,29.04,184.4E-6,29.02,186.7E-6,29.01,188.4E-6,28.99,189.6E-6,28.98,190.4E-6,28.97,190.8E-6
28.99,600.2E-6,28.94,642.2E-6,28.89,679.2E-6,28.85,709.9E-6,28.81,734.8E-6,28.77,754.5E-6,28.73,769.9E-6,28.70,781.7E-6,28.67,790.4E-6,28.64,796.8E-6,28.61,801.1E-6,28.58,803.6E-6,28.56,804.8E-6
28.60,2.535E-3,28.50,2.703E-3,28.40,2.849E-3,28.31,2.968E-3,28.23,3.063E-3,28.16,3.136E-3,28.09,3.192E-3,28.02,3.233E-3,27.96,3.262E-3,27.91,3.282E-3,27.86,3.293E-3,27.81,3.298E-3,27.76,3.297E-3
27.78,10.40E-3,27.59,11.01E-3,27.42,11.53E-3,27.27,11.94E-3,27.13,12.25E-3,27.00,12.49E-3,26.88,12.65E-3,26.78,12.76E-3,26.68,12.82E-3,26.59,12.85E-3,26.51,12.85E-3,26.44,12.83E-3,26.36,12.79E-3
26.34,40.36E-3,26.06,42.23E-3,25.80,43.74E-3,25.58,44.87E-3,25.38,45.66E-3,25.21,46.17E-3,25.06,46.46E-3,24.92,46.57E-3,24.79,46.54E-3,24.68,46.41E-3,24.58,46.20E-3,24.49,45.92E-3,24.40,45.60E-3
24.22,143.2E-3,23.88,147.5E-3,23.59,150.7E-3,23.35,152.7E-3,23.14,153.8E-3,22.96,154.1E-3,22.80,153.8E-3,22.65,153.1E-3,22.53,152.1E-3,22.41,150.8E-3,22.31,149.3E-3,22.21,147.7E-3,22.12,146.0E-3
21.68,451.5E-3,21.39,457.5E-3,21.12,461.0E-3,20.89,461.7E-3,20.68,460.2E-3,20.49,457.0E-3,20.32,452.5E-3,20.17,447.2E-3,20.03,441.2E-3,19.90,434.8E-3,19.78,428.2E-3,19.67,421.5E-3,19.57,414.7E-3
19.10,1.251,18.80,1.250,18.52,1.243,18.25,1.229,18.00,1.212,17.78,1.191,17.58,1.169,17.40,1.145,17.23,1.121,17.08,1.097,16.94,1.074,16.81,1.051,16.70,1.028
16.51,3.049,16.12,2.994,15.76,2.928,15.44,2.855,15.16,2.777,14.91,2.697,14.70,2.619,14.50,2.542,14.33,2.468,14.17,2.396,14.03,2.328,13.91,2.263,13.79,2.201
13.88,6.514,13.42,6.263,13.04,6.011,12.71,5.765,12.44,5.529,12.21,5.307,12.01,5.098,11.83,4.902,11.68,4.720,11.55,4.550,11.43,4.391,11.32,4.243,11.22,4.104
11.39,12.24,10.96,11.50,10.61,10.84,10.33,10.24,10.11,9.696,9.917,9.207,9.758,8.766,9.621,8.364,9.503,7.999,9.398,7.664,9.306,7.358,9.223,7.075,9.149,6.815
9.254,20.47,8.897,18.86,8.627,17.49,8.416,16.32,8.246,15.31,8.107,14.42,7.991,13.63,7.892,12.93,7.807,12.31,7.732,11.74,7.666,11.22,7.607,10.76,7.554,10.33
7.539,31.09,7.277,28.20,7.084,25.86,6.935,23.92,6.816,22.27,6.719,20.86,6.639,19.62,6.571,18.54,6.512,17.58,6.460,16.71,6.415,15.94,6.375,15.23,6.338,14.60
6.211,43.77,6.032,39.27,5.903,35.73,5.802,32.84,5.722,30.43,5.657,28.38,5.603,26.62,5.557,25.07,5.517,23.71,5.483,22.50,5.452,21.42,5.425,20.44,5.400,19.55
5.196,58.15,5.078,51.79,4.991,46.87,4.925,42.90,4.872,39.62,4.830,36.86,4.794,34.49,4.763,32.43,4.736,30.62,4.712,29.01,4.690,27.58,4.671,26.29,4.653,25.12
4.412,73.88,4.335,65.49,4.278,59.05,4.234,53.90,4.198,49.68,4.167,46.13,4.141,43.10,4.118,40.47,4.097,38.17,4.079,36.13,4.062,34.31,4.045,32.68,4.030,31.20
3.795,90.65,3.744,80.10,3.704,72.05,3.671,65.65,3.643,60.41,3.618,56.02,3.594,52.27,3.573,49.03,3.553,46.19,3.534,43.69,3.517,41.45,3.500,39.45,3.486,37.64
3.298,108.2,3.261,95.40,3.228,85.66,3.199,77.93,3.171,71.61,3.145,66.32,3.121,61.81,3.099,57.92,3.078,54.51,3.059,51.50,3.041,48.82,3.024,46.42,3.008,44.26
2.888,126.3,2.855,111.1,2.823,99.62,2.792,90.50,2.763,83.04,2.737,76.80,2.712,71.50,2.690,66.92,2.670,62.91,2.652,59.39,2.635,56.25,2.620,53.44,2.606,50.91
2.543,144.6,2.509,127.0,2.475,113.7,2.443,103.1,2.414,94.50,2.389,87.28,2.367,81.15,2.347,75.87,2.329,71.27,2.313,67.22,2.299,63.62,2.286,60.40,2.274,57.50
2.248,162.9,2.211,142.9,2.177,127.7,2.147,115.6,2.121,105.8,2.099,97.62,2.079,90.67,2.062,84.70,2.047,79.49,2.034,74.92,2.022,70.86,2.012,67.23,2.002,63.97
1.994,181.1,1.957,158.6,1.925,141.5,1.898,127.9,1.876,116.9,1.857,107.8,1.841,99.99,1.827,93.33,1.814,87.53,1.803,82.44,1.793,77.94,1.785,73.91,1.777,70.29
1.776,199.0,1.741,173.9,1.713,154.9,1.690,139.9,1.671,127.7,1.655,117.6,1.641,109.1,1.629,101.7,1.619,95.36,1.610,89.78,1.602,84.83,1.595,80.42,1.588,76.45
1.589,216.5,1.558,188.9,1.533,168.0,1.513,151.6,1.497,138.2,1.484,127.2,1.472,117.9,1.462,109.9,1.454,103.0,1.446,96.89,1.439,91.52,1.433,86.73,1.428,82.43
1.429,233.4,1.401,203.4,1.379,180.7,1.362,162.8,1.349,148.4,1.337,136.5,1.328,126.4,1.319,117.8,1.312,110.3,1.306,103.8,1.300,98.00,1.295,92.84,1.290,88.22
1.290,249.8,1.266,217.4,1.247,192.9,1.233,173.7,1.221,158.3,1.211,145.5,1.203,134.7,1.196,125.4,1.189,117.4,1.184,110.4,1.179,104.3,1.175,98.75,1.171,93.81
1.170,265.6,1.148,230.9,1.132,204.7,1.120,184.3,1.109,167.7,1.101,154.1,1.094,142.6,1.087,132.8,1.082,124.3,1.077,116.9,1.073,110.3,1.069,104.4,1.066,99.20
1.065,280.9,1.046,243.9,1.032,216.1,1.020,194.4,1.011,176.9,1.004,162.4,997.6E-3,150.3,992.1E-3,139.9,987.4E-3,130.9,983.2E-3,123.0,979.5E-3,116.1,976.2E-3,109.9,973.2E-3,104.4
